English,French
Call me if you need help.,Appelez-moi si vous avez besoin d'aide.
That house is very small.,Cette maison est très petite.
"Hello, are you still there?", Bonjour vous êtes toujours là?
You are most welcome., De rien.
Tom looks very anxious.,Tom a l'air inquiet.
Did Tom stay?,Tom est-il resté ?
I was lost in the crowd.,J'étais perdu dans la foule.
I run every day.,Je cours tous les jours.
I live nearby.,Je vis dans le coin.
There was a lot of snow.,Il y avait beaucoup de neige.
She almost drowned.,Elle s'est presque noyée.
The theory is not accepted.,La théorie n'est pas acceptée.
"For the total price, let me check. "," Pour le prix total, laissez-moi vérifier."
They grew closer.,Ils se sont approchés.
You've got to help them.,Vous devez les aider.
We rented a car.,Nous avons loué une voiture.
School is over.,L'école est finie.
He gave me a hug.,Il m'a enlacée.
I hope Tom is objective.,J'espère que Tom est objectif.
Do you think I'm pretty?,Me trouves-tu mignonne ?
What do you want to drink?,Que veux-tu boire ?
I'm not coming back home.,Je ne vais pas rentrer à la maison.
It's time we changed that.,Il est temps que nous changions cela.
I need new tires.,Il me faut des pneus neufs.
Not everyone was impressed.,Tout le monde n'a pas été impressionné.
Yes follow up thru us Leslie. ," Oui, suivez-nous Leslie."
I saw it on TV.,Je l'ai vu à la télé.
Let's do it!,Faisons-le !
I'm not finished with you.,Je n'en ai pas fini avec toi.
Have you tried this before?,L'avez-vous essayé auparavant ?
This room is very warm.,Cette chambre est très chaude.
She went shopping.,Elle alla faire des emplettes.
I'm not saying anything.,Je ne dis rien.
Perfect!, Parfait!
I drank the water.,J'ai bu l'eau.
Children filled the room.,Les enfants ont rempli la pièce.
Was anybody hurt?,Qui que ce soit a-t-il été blessé ?
I didn't like my teacher.,Je n'ai pas apprécié mon professeur.
Verify Customer, Vérifier le client
I stopped to smoke.,Je me suis arrêté pour fumer.
Êtes-vous toujours là?, Êtes-vous toujours là?
Prices are high these days.,Les prix sont élevés ces jours-ci.
"Please, give me a few more minutes."," S'il vous plaît, donnez-moi encore quelques minutes."
Let me see that.,Fais-moi voir ça.
"Hi there, Theresa! Rachel here. "," Salut, Theresa! Rachel ici."
Dates/Times, Dates / heures
You're the teacher.,C'est toi l'institutrice.
your welcome bye, votre au revoir
Is this the flight going to Kalamazooon Jul 2nd?, Est-ce le vol qui va à Kalamazooon le 2 juillet?
5132841418,5132841418
We all missed the target.,Nous avons tous raté la cible.
What were you waiting for?,Qu'est-ce que tu attendais ?
32,Trente-deux
I just want to be prepared.,Je veux tout simplement être prête.
Here is your bag.,Voilà ton sac.
73,soixante-treize
You should do that now.,Tu devrais faire ça maintenant.
They followed you here.,Elles vous y ont suivi.
Are you in a lot of pain?,Souffrez-vous beaucoup ?
"Hello, this is Frank."," Bonjour, c'est Frank."
Give us a second.,Donne-nous une seconde.
She lives with him.,Elle vit avec lui.
No one believed us.,Personne ne nous crut.
If you cancel within 24 hours, Si vous annulez dans les 24 heures
Got it, Je l'ai
I have no privacy.,Je n'ai pas d'intimité.
I hope we're still connected..., J'espère que nous sommes toujours connectés ...
He has a remarkable memory.,Il a une mémoire remarquable.
My wife is a good cook.,Ma femme est bonne cuisinière.
Are you still there?, Tu es encore la?
Where is the rubber duck?,Où est le canard en caoutchouc ?
I've often heard about you.,J'ai souvent entendu parler de toi.
The dog is under the table.,Le chien est sous la table.
I often stay up all night.,Je veille souvent toute la nuit.
"Hey, may I have your name?"," Hé, je peux avoir ton nom?"
Would you come with us?,Viendrais-tu avec nous ?
You may meet him.,Tu as l'autorisation de le rencontrer.
Give me 2 minutes please., Donnez-moi 2 minutes s'il vous plaît.
I'm immune.,Je suis immunisée.
Are you there?, Êtes-vous là?
I urge caution.,J'exhorte à la prudence.
What I can do for you ? , Ce que je peux faire pour toi ?
Know your enemy.,Il faut connaître son ennemi.
Tom loves country music.,Tom aime la musique country.
I'm telling you the truth.,Je te dis la vérité.
He has no right to do this.,Il n'a aucun droit de faire ça.
"Sure thing, Philip. "," Bien sûr, Philip."
Thank you., Je vous remercie.
You're part of my life.,Tu fais partie de ma vie.
I was not sure what to do.,Je n'étais pas sûre de savoir quoi faire.
Have you put on sunscreen?,As-tu mis de la crème solaire ?
What do you see in him?,Que lui trouves-tu ?
I've missed another chance.,J'ai manqué une autre chance.
"Thank you, you as well.", Merci à vous aussi.
We won't change anything.,Nous ne changerons rien.
Got it! Am I chatting with Justen?, Je l'ai! Suis-je en train de discuter avec Justen?
I'm going to bed.,Je vais dormir.
That's not what we want.,Ce n'est pas ce que nous voulons.
Do you have any brothers?,Avez-vous des frères ?
Select booking, Sélectionnez la réservation
Father is in his office.,Le père est dans son bureau.
"Hi, there! I'm your friendly agent - Jonel!", Salut! Je suis ton agent amical - Jonel!
Take good care of yourself.,Prends bien soin de toi.
"Sure, let me send it now. "," Bien sûr, permettez-moi de l'envoyer maintenant."
50,cinquante
"Hello, are you still there?", Bonjour vous êtes toujours là?
How does this work?,Comment ça marche ?
How could this be?,Comment cela pourrait-il être ?
How about a cup of coffee?,Que dis-tu d'une tasse de café ?
They visited us.,Ils nous ont rendu visite.
They're going to find you.,Elles vont te trouver.
Nope., Nan.
Still there?, Toujours là?
These socks do not match.,Ces chaussettes sont dépareillées.
"Yes, I'm here."," Oui, je suis là."
You do work a lot.,Vous travaillez vraiment beaucoup.
All I want is money.,"Tout ce que je veux, c'est de l'argent."
They'll eat those.,Elles mangeront celles-là.
Is your French improving?,Votre français s'améliore-t-il ?
How's your business going?,Comment vont tes affaires ?
Has he gone already?,Est-il déjà parti ?
He died suddenly.,Il mourut soudainement.
Tom's hungry.,Tom a faim.
You're late.,Vous êtes en retard.
Are you confident?,Es-tu confiant ?
He's not a liar.,Ce n'est pas un menteur.
Time flies like an arrow.,Le temps file comme une flèche.
May I proceed with the refund request now?, Puis-je procéder à la demande de remboursement maintenant?
She's heating the water.,Elle fait réchauffer l’eau.
They're out of their minds.,Elles ont perdu l'esprit.
Why are you so busy today?,Pourquoi êtes-vous si occupées aujourd'hui ?
They are actors.,Ils sont acteurs.
Cross the street.,Traverse la rue.
The bird's wing was broken.,L'aile de l'oiseau était cassée.
You don't need to panic.,Vous n'avez pas besoin de paniquer.
Here are your keys.,Voici vos clés.
What do you like?,Qu'aimes-tu ?
He cried and cried.,Il pleura tant et plus.
The girl is lonely.,La fille se sent seule.
one moment please,un instant s'il vous plaît
Sure! No problem., Sûr! Aucun problème.
Do you want to eat?,Est-ce que vous voulez manger ?
Are you going to kiss me?,Vas-tu m'embrasser ?
Thank you., Je vous remercie.
"Almost done, buddy."," Presque terminé, mon pote."
Is that you?,Est-ce vous ?
I can't forgive her.,Je ne peux pas lui pardonner.
I have no children.,Je n'ai pas d'enfants.
Verify Customer, Vérifier le client
Take a breath.,Inspirez !
"Hi, There! This is Jayson, How may I help you?  "," Salut! Voici Jayson, comment puis-je vous aider?"
Tom got up to help Mary.,Tom se leva pour aider Mary.
It's nothing.,Ce n'est rien.
You didn't have to lie.,Il n'était pas nécessaire que tu mentes.
Where will we meet?,Où nous rencontrerons-nous ?
You're not alone.,Vous n'êtes pas seule.
Let's do the following. , Faisons ce qui suit.
How can I help?, Comment puis-je aider?
Go away!,Pars !
The girls had a catfight.,Les filles se crêpèrent le chignon.
We want revenge.,Nous voulons notre vengeance.
Wait until you see this.,Attendez de voir ça !
It's not that different.,Ce n'est pas si différent.
Here's your change.,Voici ton changement !
Let me continue with your request, Permettez-moi de poursuivre votre demande
What's your email?, Quel est ton e-mail?
All the lights went out.,Toutes les lumières se sont éteintes.
Cancel booking, Annuler la réservation
You're welcome. , De rien.
I took care of it for you.,Je m'en suis occupé pour vous.
I feel kind of frustrated.,Je me sens un peu frustrée.
Thank you for chatting with us!, Merci d'avoir discuté avec nous!
They need food and water.,Elles ont besoin de nourriture et d'eau.
He could do it.,Lui pourrait le faire.
Tom has a headache.,Tom a mal à la tête.
I read one of his works.,J'ai lu une de ses œuvres.
You were in a coma.,Vous étiez dans le coma.
Oh I'll check., Oh je vais vérifier.
Hello Melissa. This is Chris. , Bonjour Melissa. Voici Chris.
They found it.,Elles le trouvèrent.
Don't walk so fast.,Ne marche pas si vite.
Which sports do you like?,Quels sports aimez-vous ?
I did that late last night.,J'ai fait ça tard la nuit dernière.
"Hello, are you there ?", Bonjour êtes-vous là ?
Appreciate that additional information., Appréciez ces informations supplémentaires.
They won't speak to Tom.,Ils ne parleront pas à Tom.
That's what I did today.,C'est ce que j'ai fait aujourd'hui.
Tom was obviously angry.,Tom était évidemment en colère.
How's your old lady doing?,Comment va ta femme ?
Tom and I keep in touch.,Tom et moi sommes restés en contact.
"Hi, Matthew here."," Salut, Matthew ici."
I don't want you to worry.,Je ne veux pas que vous vous fassiez de souci.
I just dropped in.,Je ne fais que passer.
You are beautiful.,Vous êtes beau.
I felt depressed.,Je me sentis déprimée.
You need to take a break.,Vous avez besoin de faire une pause.
"Non-refundable, not changeable"," Non remboursable, non modifiable"
"Hello, are you still there?", Bonjour vous êtes toujours là?
Tom won't go alone.,Tom n'ira pas seul.
I wanted you to keep that.,Je voulais que tu gardes ça.
Select booking, Sélectionnez la réservation
It's awesome.,C'est effarant.
He likes me.,Il m'aime bien.
I must help you.,Je dois t'aider.
We don't know.,Nous ne savons pas.
You are the chosen one.,Vous êtes l'élue.
Thanks., Merci.
He looks confused.,Il a l'air paumé.
Anytime! I'm glad I can shed some light here!, À tout moment! Je suis content de pouvoir faire la lumière ici!
There's a serious problem.,Il y a un sérieux problème.
" Hey, I'm back!  "," Salut, je suis de retour!"
He asked for a beer.,Il demanda une bière.
Let's pull up your reservation right away., Tirons votre réservation tout de suite.
I don't care.,Ça m'est égal.
You're famous.,Tu es connu.
I've been all over Europe.,J'ai voyagé à travers toute l'Europe.
I've checked the information given by them. , J'ai vérifié les informations fournies par eux.
I didn't invite Tom.,Je n'ai pas invité Tom.
There's no place like home.,Rien ne vaut son chez-soi.
Why do you like horses?,Pourquoi aimes-tu les chevaux ?
Did you see the transcript?,As-tu vu la transcription ?
Tom drove along the river.,Tom a conduit en longeant la rivière.
This is messed up.,C'est foutu.
We got up at dawn.,Nous nous sommes levés à l'aube.
Smoking harms your health.,Fumer détériore ta santé.
A few of these are mine.,Il y en a quelques-unes à moi.
Do you trust anyone?,Vous fiez-vous à quiconque ?
We saved your life.,Nous vous avons sauvé la vie.
You're the oldest.,C'est toi la plus vieille.
We are only a chat channel. , Nous ne sommes qu'un canal de discussion.
I'm sorry for being late.,Je suis désolée d'être en retard.
They'll know what to do.,Elles sauront quoi faire.
Who did you meet there?,Qui y as-tu rencontré ?
hello, Bonjour
Who's next on the list?,Qui est le suivant sur la liste ?
I'm worth more than this.,Je vaux mieux que ça.
"Hello, are you there?", Bonjour êtes-vous là?
They're bad.,Elles sont mauvaises.
That was very good.,Ce fut très bon.
Are you still with me?, es-tu encore avec moi?
Give it back to me.,Rends-le-moi !
He's a ghostwriter.,C'est un nègre.
She hit him with a hammer.,Elle le frappa avec un marteau.
Still contacting them., Je les contacte toujours.
Still creating a document for you..., Toujours en train de créer un document pour vous ...
He kept his promise.,Il a tenu sa promesse.
I have two big brothers.,J'ai deux frères ainés.
I really appreciate it!, J'apprécie vraiment cela!
Is the dog chained?,Le chien est-il enchaîné ?
Are you winning?,Êtes-vous en train de gagner ?
"Correct, since I didn't get any authorization. "," C'est exact, car je n'ai obtenu aucune autorisation."
Tom can do better.,Tom peut mieux faire.
I'm glad to help!, Je suis heureux de vous aider!
97,quatre-vingt-dix-sept
I had no luck yesterday.,Je n'ai pas eu de chance hier.
He tumbled down the stairs.,Il est tombé dans les escaliers.
I don't think about you.,Je ne pense pas à vous.
They caught him stealing.,Ils le prirent en train de voler.
Clean it up.,Nettoyez-le.
How does it feel?,Que ressentez-vous ?
